commit type,deleted lines count
Multi-lang,14
Multi-lang,15
Other,0
Other,58
Other,2
Other,1
Multi-lang,55
Other,28
Other,4
Multi-lang,138
Multi-lang,78
Other,108
Other,24
Other,1
Multi-lang,30
Other,18
Other,1
Multi-lang,447
Other,69
Other,462
Other,65
Multi-lang,444
Other,317
Other,25
Other,315
Other,2
Other,9
Other,18
Other,1
Other,5
Other,0
Other,0
Other,0
Other,2
Other,4
Other,8
Other,14
Other,582
Other,5
Other,6
Other,1
Other,14
Multi-lang,25
Other,5
Other,3
Other,20
Multi-lang,61
Other,11
Other,0
Other,6
Other,12
Multi-lang,374
Other,1
Multi-lang,45
Other,16
Multi-lang,157
Other,12
Other,36
Multi-lang,55
Multi-lang,22
Multi-lang,113
Other,16
Multi-lang,26
Other,9
Other,1
Other,12
Other,1
Other,220
Other,0
Other,31
Other,7
Other,3
Other,0
Other,4
Other,1
Other,0
Other,0
Other,0
Other,10
Multi-lang,40
Multi-lang,65
Other,1
Multi-lang,20
Multi-lang,553
Other,11
Multi-lang,33
Multi-lang,10
Other,120
Other,48
Other,0
Other,85
Multi-lang,18
Multi-lang,399
Multi-lang,95
Other,0
Other,2
Other,1
Multi-lang,142
Other,14
Multi-lang,4
Other,0
Other,1
Other,1
Other,1
Other,10
Other,12
Other,23
Multi-lang,4
Multi-lang,130
Other,2
Other,1
Other,52
Other,1
Other,1
Other,9
Multi-lang,27
Other,86
Other,8
Multi-lang,1
Multi-lang,57
Multi-lang,43
Other,2
Other,0
Other,9
Other,3
Other,2
Multi-lang,85
Other,0
Multi-lang,46
Other,1
Other,4
Other,0
Other,3
Other,0
Other,1
Other,0
Other,0
Multi-lang,12
Multi-lang,14
Multi-lang,55
Multi-lang,4
Multi-lang,54
Other,3
Multi-lang,352
Multi-lang,60
Other,7
Multi-lang,146
Other,9
Multi-lang,17
Multi-lang,45
Other,30
Other,3
Other,9
Other,11
Multi-lang,83
Other,0
Multi-lang,184
Other,14
Other,253
Other,1
Other,1
Other,3
Other,14
Other,1723
Other,6
Other,1
Other,1
Other,1
Other,0
Other,7
Other,1714
Other,1
Other,4
Other,278
Other,4
Other,250
Other,147
Multi-lang,67
Multi-lang,167
Other,3
Other,0
Other,1
Other,0
Other,0
Other,0
Other,1694
Other,1
Other,1
Other,12
Other,1
Other,9
Other,0
Other,0
Other,0
Other,0
Other,2
Other,0
Other,271
Other,2
Multi-lang,150
Other,1
Other,0
Other,0
Other,3
Other,8
Other,16
Other,27
Other,104
Multi-lang,1671
Other,0
Multi-lang,85
Multi-lang,2
Multi-lang,48
Other,1
Other,956
Other,1672
Other,125
Other,4
Multi-lang,1678
Multi-lang,38
Other,12
Other,332
Multi-lang,1669
Other,127
Other,103
Other,70
Other,3
Other,2
Other,1111
Other,3025
Other,0
Other,9
Other,1
Other,1111
Other,2175
Other,8
Other,116
Other,0
Other,6
Other,2
Other,13
Other,4
Other,4
Other,8
Other,3
Other,163
Other,1
Other,1985
Multi-lang,163
Other,1978
Other,21
Multi-lang,61
Other,0
Other,5
Other,0
Other,0
Other,98
Other,0
Other,1801
Other,1
Other,2
Other,0
Other,98
Other,1795
Other,1
Other,0
Other,0
Other,0
Other,0
Other,0
Other,0
Other,0
Other,98
Other,1786
Other,98
Other,0
Other,1
Other,0
Multi-lang,1578
Other,2
Multi-lang,159
Other,1
Other,2
Other,13
Other,1595
Other,8
Other,0
Other,0
Other,2
Other,0
Other,11
Other,1576
Other,5
Other,0
Other,23
Other,0
Other,0
Other,2
Other,0
Other,0
Multi-lang,6
Other,0
Other,1557
Other,1
Other,1
Multi-lang,1555
Other,3
Other,8784
Other,9726
Multi-lang,8787
Other,1
Other,9184
Other,8495
Other,9177
Other,5
Other,8
Other,23
Other,23
Other,12
Other,8
Other,8489
Other,8917
Other,8489
Other,8916
Other,4
Other,0
Other,0
Other,1
Other,1
Other,1
Other,7
Other,1
Other,1
Other,4
Other,4
Other,2
Other,8479
Other,8889
Multi-lang,191
Other,482
Other,0
Other,65
Multi-lang,63
Other,40
Multi-lang,615
Other,0
Multi-lang,8
Multi-lang,2013
Other,0
Other,7
Multi-lang,6
Multi-lang,147
Multi-lang,474
Multi-lang,674
Other,2
Other,2
Other,34
Other,6
Multi-lang,699
Multi-lang,359
Multi-lang,418
Other,1
Multi-lang,872
Multi-lang,977
Multi-lang,1957
Other,2246
Other,3
Other,10
Other,1904
Other,1
Other,2245
Other,24
Other,26
Multi-lang,1831
Multi-lang,61
Multi-lang,64
Other,1
Other,18
Other,1266
Multi-lang,47
Multi-lang,123
Other,11
Multi-lang,105
Other,61
Other,128
Other,98
Other,64
Multi-lang,372
Other,0
Other,0
Other,0
Multi-lang,265
Multi-lang,275
Other,3
Other,23
Multi-lang,393
Multi-lang,511
Multi-lang,189
Other,332
Other,33
Other,12
Other,2
Other,1
Other,21
Other,0
Other,3
Other,24
Other,4
Other,2
Other,0
Other,3
Other,456
Other,0
Other,0
Other,2
