commit type,hunks count
Normal,7
Normal,7
Normal,2
Normal,6
Normal,1
Normal,2
Normal,2
Normal,4
Normal,6
Normal,8
Multi-lang,32
Normal,4
Normal,1
Normal,10
Normal,2
Normal,1
Normal,3
Normal,1
Normal,4
Multi-lang,22
Multi-lang,13
Multi-lang,12
Normal,5
Normal,1
Normal,3
Normal,3
Normal,3
Normal,2
Normal,7
Multi-lang,51
Normal,2
Normal,4
Normal,6
Multi-lang,17
Normal,56
Normal,8
Normal,6
Multi-lang,19
Multi-lang,10
Normal,2
Normal,1
Multi-lang,22
Normal,1
Normal,1
Normal,1
Normal,2
Multi-lang,6
Multi-lang,13
Multi-lang,31
Normal,1
Normal,1
Normal,1
Multi-lang,52
Normal,4
Normal,8
Multi-lang,22
Normal,5
Normal,4
Multi-lang,11
Multi-lang,163
Multi-lang,141
Normal,2
Normal,1
Normal,8
Multi-lang,9
Normal,9
Multi-lang,39
Normal,23
Normal,15
Normal,10
Normal,1
Normal,1
Normal,15
Normal,4
Normal,7
Multi-lang,18
Normal,19
Multi-lang,25
Multi-lang,219
Normal,4
Normal,1
Normal,3
Normal,3
Multi-lang,80
Normal,1
Multi-lang,17
Normal,11
Multi-lang,53
Normal,9
Normal,9
Multi-lang,31
Multi-lang,16
Multi-lang,21
Normal,6
Multi-lang,6
Normal,5
Normal,2
Normal,6
Normal,2
Normal,33
Normal,1
Normal,10
Normal,9
Normal,3
Normal,1
Normal,1
Normal,1
Normal,1
Normal,2
Normal,0
Normal,4
Multi-lang,14
Multi-lang,22
Normal,1
Multi-lang,6
Multi-lang,171
Normal,3
Multi-lang,34
Multi-lang,10
Normal,28
Normal,20
Normal,1
Normal,30
Multi-lang,7
Multi-lang,112
Multi-lang,76
Normal,1
Normal,2
Multi-lang,36
Normal,9
Multi-lang,4
Normal,1
Normal,1
Normal,2
Normal,4
Normal,6
Normal,7
Normal,9
Multi-lang,3
Multi-lang,20
Normal,1
Normal,3
Normal,12
Normal,1
Normal,1
Normal,6
Multi-lang,12
Normal,26
Normal,5
Multi-lang,4
Multi-lang,27
Multi-lang,21
Normal,5
