repo,percentage
scwang90/SmartRefreshLayout,23.787313432835823
CymChad/BaseRecyclerViewAdapterHelper,17.69041769041769
CarGuo/GSYVideoPlayer,8.8638195004029
TeamNewPipe/NewPipe,15.22184300341297
alibaba/ARouter,9.056603773584905
LuckSiege/PictureSelector,6.2950322335987865
hyb1996/Auto.js,42.822966507177036
81813780/AVLoadingIndicatorView,9.278350515463918
googlesamples/easypermissions,12.345679012345679
roughike/BottomBar,7.782101167315175
huanghaibin-dev/CalendarView,42.18181818181818
termux/termux-app,7.415254237288135
geeeeeeeeek/WeChatLuckyMoney,31.65829145728643
naman14/Timber,41.44620811287478
seven332/EhViewer,30.73316283034953
GrenderG/Toasty,7.453416149068323
rey5137/material,42.857142857142854
Meituan-Dianping/walle,15.384615384615385
KunMinX/Jetpack-MVVM-Best-Practice,23.154362416107382
smuyyh/BookReader,42.793791574279375
k9mail/k-9,11.904761904761903
Devlight/InfiniteCycleViewPager,7.865168539325842
k0shk0sh/FastHub,32.977017637626936
amitshekhariitbhu/Fast-Android-Networking,11.229946524064172
Yalantis/Side-Menu.Android,19.047619047619047
CameraKit/camerakit-android,16.908212560386474
KeepSafe/TapTargetView,5.095541401273886
amitshekhariitbhu/RxJava2-Android-Samples,25.668449197860966
orhanobut/dialogplus,25.136612021857925
Devlight/NavigationTabBar,22.727272727272727
mcxiaoke/packer-ng-plugin,2.898550724637681
SplashCodes/JAViewer,47.008547008547005
zhanghai/Douya,24.73444613050076
youlookwhat/CloudReader,36.708860759493675
huangyanbin/smartTable,21.176470588235293
HotBitmapGG/bilibili-android-client,35.65573770491803
razerdp/BasePopup,20.0
AriaLyy/Aria,35.11659807956104
firebase/FirebaseUI-Android,21.34831460674157
Jasonchenlijian/FastBle,16.3265306122449
Meituan-Dianping/Robust,9.859154929577464
zzhoujay/RichText,13.17365269461078
willowtreeapps/spruce-android,24.496644295302016
getActivity/AndroidProject,78.94736842105263
AntennaPod/AntennaPod,23.78093425098843
andremion/Music-Player,5.970149253731343
meefik/linuxdeploy,30.612244897959183
Genymobile/gnirehtet,1.559792027729636
iammert/ScalingLayout,13.333333333333334
rovo89/XposedInstaller,21.51639344262295
bilibili/boxing,10.476190476190476
luojilab/DDComponentForAndroid,15.294117647058824
UnevenSoftware/LeafPic,53.84047267355982
chenBingX/SuperTextView,30.573248407643312
xuexiangjys/XUI,52.39786856127886
WritingMinds/ffmpeg-android-java,3.79746835443038
woxingxiao/BubbleSeekBar,21.929824561403507
tiann/epic,5.0
andOTP/andOTP,41.52421652421652
JavaNoober/BackgroundLibrary,36.904761904761905
JackyAndroid/AndroidChromium,17.333333333333336
MindorksOpenSource/PRDownloader,15.328467153284672
florent37/ShapeOfView,34.090909090909086
nic-delhi/AarogyaSetu_Android,19.379844961240313
android-notes/Cockroach,15.492957746478872
florent37/ExpectAnim,17.391304347826086
evrencoskun/TableView,14.432989690721648
Yalantis/GuillotineMenu-Android,9.090909090909092
jiajunhui/PlayerBase,25.196850393700785
burhanrashid52/PhotoEditor,20.833333333333336
TangoAgency/material-intro-screen,15.714285714285714
harjot-oberai/MusicDNA,52.38095238095239
aritraroy/PatternLockView,21.951219512195124
florent37/DiagonalLayout,23.88059701492537
Dimezis/BlurView,6.909090909090909
Hitomis/transferee,20.652173913043477
MindorksOpenSource/android-mvvm-architecture,39.09090909090909
arcadefire/nice-spinner,16.037735849056602
esoxjem/MovieGuide,18.134715025906736
EverythingMe/overscroll-decor,29.6875
yingLanNull/ShadowImageView,13.513513513513514
kabouzeid/Phonograph,27.55417956656347
CJT2325/CameraView,11.330049261083744
ozodrukh/CircularReveal,10.869565217391305
pwittchen/ReactiveNetwork,2.896551724137931
zjw-swun/AppMethodOrder,5.660377358490567
JsonChao/Awesome-WanAndroid,26.31578947368421
BaronZ88/MinimalistWeather,29.850746268656714
team-supercharge/ShimmerLayout,11.428571428571429
florent37/CameraFragment,8.974358974358974
Tencent/VasDolly,7.07070707070707
xuuhaoo/OkSocket,15.714285714285714
JingYeoh/FragmentRigger,21.232876712328768
xinghongfei/LookLook,38.392857142857146
gongwen/MarqueeViewLibrary,19.230769230769234
pilgr/Paper,4.201680672268908
Devlight/NavigationTabStrip,14.285714285714285
Yalantis/Horizon,19.230769230769234
elevenetc/TextSurface,12.5
iqiyi/Andromeda,37.719298245614034
